001000 00000 01000 00000 00000 101100	496	ADDI $r8, $r0, #44
001000 00000 00110 00000 00000 000001	500	ADDI $r6, $r0, #1
101011 00000 00110 00000 01001 011000	504	SW $r6, #600($r0)
001000 00000 00111 00000 00000 000100	508	ADDI $r7, $r0, #4
101011 00111 00110 00000 01001 011000	512	SW $r6, #600($r7)
001000 00000 01010 00000 00000 001000	516	ADDI $r10, $r0, #8
001000 01010 00011 11111 11111 111000	520	ADDI $r3, $r10, #-8
100011 00011 00001 00000 01001 011000	524	LW $r1, #600($r3)
001000 01010 00100 11111 11111 111100	528	ADDI $r4, $r10, #-4
100011 00100 00010 00000 01001 011000	532	LW $r2, #600($r4)
000000 00001 00010 00101 00000 100000	536	ADD $r5, $r1, $r2
101011 01010 00101 00000 01001 011000	540	SW $r5, #600($r10)
001000 01010 01010 00000 00000 000100	544	ADDI $r10, $r10, #4
000100 01010 01000 00000 00000 000001	548	BEQ $r10, $r8, #4
000010 00000 00000 00000 00010 000010	552	J #520
000000 00000 00000 00000 00000 000000	556	NOP
000000 00000 00000 00000 00000 001101	560	break
000000 00000 00000 00000 00000 000000	564	NOP
000000 00000 00000 00000 00000 000000	568	NOP
000000 00000 00000 00000 00000 000000	572	NOP
000000 00000 00000 00000 00000 000000	576	NOP
000000 00000 00000 00000 00000 000000	580	NOP
000000 00000 00000 00000 00000 000000	584	NOP
000000 00000 00000 00000 00000 000000	588	NOP
000000 00000 00000 00000 00000 000000	592	NOP
000000 00000 00000 00000 00000 000000	596	NOP
000000 00000 00000 00000 00000 000000	600	NOP
000000 00000 00000 00000 00000 000000	604	NOP
000000 00000 00000 00000 00000 000000	608	NOP
000000 00000 00000 00000 00000 000000	612	NOP
000000 00000 00000 00000 00000 000000	616	NOP
000000 00000 00000 00000 00000 000000	620	NOP
000000 00000 00000 00000 00000 000000	624	NOP
000000 00000 00000 00000 00000 000000	628	NOP
000000 00000 00000 00000 00000 000000	632	NOP
000000 00000 00000 00000 00000 000000	636	NOP
